,EpochLoss
0,16383093861.763803
1,1953632822.5415668
2,52715150.30080713
3,190926881.58824503
4,894982212.3083148
5,73602138.13540962
6,182270543.50683513
7,16276555.047267796
8,167875346.52265042
9,6227453.173937464
10,5562087.714318188
11,169336360.83830044
12,9196146.557692077
13,9138586.666218305
14,6759572.711886728
15,109027259.88391183
16,42711330.6598639
17,75019832.77896024
18,10542191.893985732
19,90832366.54568322
20,15303858.215246422
21,1851299.705648551
22,71241226.51082319
23,15435083.826722473
24,788850.2085713346
25,621880.6371141913
26,3230509.015241073
27,9535989.367401076
28,733233.0243076254
29,803199.6719474558
30,466494.9314225137
31,427199.044614767
32,4977472.160903095
33,10103421.73714337
34,7592062.535356896
35,193764.4001573434
36,151092.95491849864
37,164525.06479194778
38,4115281.0477503664
39,560314.6240426748
40,14366800.951537244
41,977405.6340867961
42,123864.19127604566
43,119269.93862392128
44,91711.8258922495
45,394065.7783603785
46,96521.02159333961
47,869345.4861160498
48,1965948.6010795196
49,514292.6704184497
50,147621.19869450558
51,1574659.9344836744
52,79948.45841366236
53,1655516.2333183566
54,194826.77708224213
55,25324.814952753073
56,918623.2623209463
57,31381.976464745458
58,188094.06477240403
59,189063.69275245784
60,37854.04170394017
61,108828.72143998176
62,169116.2249226252
63,776456.2417670707
64,26114.616245846442
65,24510.305367138124
66,1480669.026485291
67,12751.730818334532
68,97886.73571911143
69,9677.727886199951
70,21514.82149426118
71,510394.27973457496
72,160822.47876575388
73,20603.78594326388
74,310146.2419249785
75,7464.013232423484
76,68952.55154437119
77,5776.099036194064
78,150446.71233348065
79,5492.631243419428
80,45695.365661165466
81,194662.35728570362
82,35875.54357854355
83,22136.469320064673
84,5755.841122463437
85,4682.898818524703
86,44050.59989792035
87,31067.295391683198
88,3060.845150486823
89,19023.243554280212
90,1459.3668873928075
91,84448.91611723886
92,22478.88175053465
93,8454.15220584021
94,2295.833305619611
95,3520.967279761481
96,15162.578055718559
97,4272.74577384858
98,1564.8230219775915
99,2531.6079257485326
