,EpochLoss
0,0.8804389516512553
1,0.8301634385472252
2,0.7870829463005066
3,0.7586125163804918
4,0.7101608827000573
5,0.6897893071174621
6,0.6730531039692107
7,0.6523156915392194
8,0.6289422608557201
9,0.6172659056527274
10,0.5944903263023922
11,0.580728152252379
12,0.5620394579001835
13,0.5500655869642893
14,0.5473745771816798
15,0.5312289845375787
16,0.5252824638571058
17,0.5136613820280348
18,0.4996157779580071
19,0.48699520457358586
20,0.477654139484678
21,0.4693106100672767
22,0.46229260251635595
23,0.4455442930970873
24,0.4478813617002396
25,0.42576992909113565
26,0.42518384286335537
27,0.4191265889576503
28,0.41306364110537935
29,0.41179698336692083
30,0.40491561804498943
31,0.40383632466906594
32,0.40086321915899004
33,0.4031975577274958
34,0.41231588749658493
35,0.39885830396697636
36,0.39738282078788395
37,0.39945614394687473
38,0.39815606020745775
39,0.3992897936276027
40,0.3939482268832979
41,0.39045479808534894
42,0.39045347145625525
43,0.40595374277659824
44,0.3871963109288897
45,0.38714740020888194
46,0.39275498191515607
47,0.3881190538406372
48,0.39029412581807094
49,0.3818041429633186
50,0.3876786240509578
51,0.3915971063432239
52,0.3919649175235203
53,0.3870996015412467
54,0.39377556301298594
55,0.3812311541466486
56,0.39243296015830265
57,0.391041172118414
58,0.39406204308782306
59,0.3896386103970664
60,0.39121787604831515
61,0.3825993080933889
62,0.3896092210497175
63,0.3954623929091862
64,0.3882908190999712
65,0.394536825021108
66,0.3896051551614489
67,0.3919900681291308
68,0.38394673012551805
69,0.38806859794117154
70,0.382091274147942
71,0.3862935693491073
72,0.39151995863233297
73,0.3879366979712532
74,0.38265871178536187
75,0.3899411096459343
76,0.391725063040143
77,0.3878195206324259
78,0.3918764043421972
79,0.3861005459512983
80,0.38880594074726105
81,0.3860023802235013
82,0.3873144450641814
83,0.38644278049468994
84,0.39016106440907433
85,0.38251432379086814
86,0.3813150130567097
87,0.39017738444464545
88,0.3885428437164852
89,0.3804174343744914
90,0.38744610519636247
91,0.38009329055036817
92,0.38941546650159925
93,0.3758456235840207
94,0.38686736964044116
95,0.3841766425541469
96,0.3869351256461371
97,0.38297461697033475
98,0.3863395764714196
99,0.39114534854888916
